                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.2665,                0.64774,                0.97709,                0.93091,                0.86745,                0.92931,                0.62087,                  1.295,                0.67159,                0.94747,             0.00068571,             0.00068571,             0.00068571
                    119,                 1.2427,                0.63241,                0.94637,                0.89513,                0.88137,                0.93514,                0.62582,                 1.3187,                0.66412,                0.95017,             0.00068204,             0.00068204,             0.00068204
                    120,                 1.2392,                0.62239,                0.94312,                0.87293,                0.86544,                0.92021,                0.64135,                 1.2494,                0.65708,                0.94321,             0.00067838,             0.00067838,             0.00067838
                    121,                 1.2269,                0.62532,                0.94564,                0.87419,                0.88046,                0.92969,                0.63811,                 1.2372,                0.66092,                  0.942,             0.00067471,             0.00067471,             0.00067471
                    122,                  1.192,                0.60754,                0.93513,                0.82701,                0.94683,                 0.9284,                0.63979,                 1.2439,                0.65234,                0.94331,             0.00067104,             0.00067104,             0.00067104
                    123,                 1.2121,                0.60812,                 0.9352,                0.85467,                0.94363,                0.93754,                0.65287,                 1.2119,                0.63238,                0.93469,             0.00066738,             0.00066738,             0.00066738
                    124,                 1.2569,                0.63433,                0.93859,                0.87381,                 0.9154,                0.93583,                0.63598,                 1.2488,                 0.6378,                0.94188,             0.00066371,             0.00066371,             0.00066371
                    125,                 1.1951,                0.61181,                0.92489,                0.87634,                0.91831,                0.93293,                0.62774,                 1.2777,                0.64132,                0.94454,             0.00066005,             0.00066005,             0.00066005
                    126,                 1.2051,                0.60071,                0.94461,                0.87265,                0.92157,                 0.9354,                0.63106,                 1.2241,                 0.6359,                0.93731,             0.00065638,             0.00065638,             0.00065638
                    127,                 1.2039,                0.61151,                0.92975,                0.86043,                0.93564,                0.94023,                0.64008,                 1.2164,                0.62973,                0.93606,             0.00065271,             0.00065271,             0.00065271
                    128,                 1.1901,                0.58875,                0.94534,                0.87907,                0.92101,                  0.939,                 0.6407,                 1.2239,                0.63355,                0.93209,             0.00064905,             0.00064905,             0.00064905
                    129,                 1.2172,                0.63146,                0.92592,                0.90127,                0.92006,                0.94453,                0.64915,                  1.201,                 0.6223,                0.92781,             0.00064538,             0.00064538,             0.00064538
                    130,                 1.2116,                0.60589,                0.94069,                0.91388,                0.92992,                0.95422,                0.65325,                 1.1791,                0.61776,                0.92457,             0.00064171,             0.00064171,             0.00064171
                    131,                 1.1562,                0.58469,                0.91596,                0.93124,                0.91932,                  0.958,                0.65564,                 1.1772,                0.61632,                0.92637,             0.00063805,             0.00063805,             0.00063805
